SrNo.,Job ID,Institution,URL,list id,location,Job Title,advice,agency,agent,analytics,asset,authentication,automation,business,cash,chief,collaborative,connectivity,contract,corporate,credit,currency,cyber,data,development,digital,director,electronic,equity,executive,expertise,finance,financial,framework,fraud,funding,global,identity,income,information,insurance,integration,interest,internal,investment,investor,leader,legal,lending,liquidity,loan,loss,management,manager,managing,manual,market,network,officer,operating,operational,payment,personal,policy,portfolio,pricing,product,quality,rate,regulatory,reporting,research,resource,revenue,sale,security,senior,service,settlement,social,structure,system,tax,technology,trading,transaction
44, P167928,Discover Financials,https://jobs.discover.com/job/9193453/senior-advanced-analytics-analyst-riverwoods-il/,1,"Riverwoods, IL",Senior Advanced Analytics Analyst,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45, P197498,Discover Financials,https://jobs.discover.com/job/9193455/lead-scrum-master-chicago-il/,1,"Chicago, IL",Lead Scrum Master,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
46, P199110,Discover Financials,https://jobs.discover.com/job/9193457/soc-analyst-3rd-shift-riverwoods-il/,1,"Riverwoods, IL",SOC Analyst (3rd Shift),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
47,: P26409_S3,Discover Financials,https://jobs.discover.com/job/9193459/lead-risk-operations-program-management-riverwoods-il/,1,"Riverwoods, IL",Lead Risk Operations Program Management,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48, P198823,Discover Financials,https://jobs.discover.com/job/9186514/underwriting-coach-new-castle-de/,1,"New Castle, DE",Underwriting Coach,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,2,2,0,0,0,1,1,0,0,0,4,0,0,0,0
49, P133779_S7,Discover Financials,https://jobs.discover.com/job/9188524/lead-aml-compliance-specialist-riverwoods-il/,1,"Riverwoods, IL",Lead AML Compliance Specialist,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50, P197580_S1,Discover Financials,https://jobs.discover.com/job/9188528/senior-manager-modeling-phoenix-az/,1,"Phoenix, AZ",Senior Manager Modeling,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51, P163264_S2,Discover Financials,https://jobs.discover.com/job/9188526/modeler-phoenix-az/,1,"Phoenix, AZ",Modeler,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,5,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52, P116046,Discover Financials,https://jobs.discover.com/job/9188523/senior-manager-cash-management-position-management-riverwoods-il/,1,"Riverwoods, IL",Senior Manager Cash Management – Position Management,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53, P198824,Discover Financials,https://jobs.discover.com/job/9188529/sr-underwriter-new-castle-de/,1,"New Castle, DE",Sr. Underwriter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
